dominio,imagen,filtro,ruido_rel,epi,ssim,fom
clima,clima_05_hurricane_michael.jpg,gauss s=2.0,0.03951813208345362,0.19743753969669342,0.5719676738573576,0.18963517692472737
clima,clima_06_lake_chad_1973_2007.jpg,media k=3,0.09396950282234927,-0.08122073113918304,0.6716653318509068,-0.07358845941516631
clima,clima_06_lake_chad_1973_2007.jpg,media k=5,0.04641453409137408,-0.02466626651585102,0.5381252931119588,-0.023521393247744136
clima,clima_06_lake_chad_1973_2007.jpg,mediana k=3,0.2677575606506006,0.09535763412714005,0.6905116232656151,0.06982490662384457
clima,clima_06_lake_chad_1973_2007.jpg,mediana k=5,0.13401309610043818,0.11965934187173843,0.5655683783401186,0.10362342299016596
clima,clima_06_lake_chad_1973_2007.jpg,gauss s=0.5,0.45996655849561324,0.97499018907547,0.9546013665149945,0.5265273072394389
clima,clima_06_lake_chad_1973_2007.jpg,gauss s=0.6,0.2521869263271726,0.9126939177513123,0.8902690054325174,0.6825244439561036
clima,clima_06_lake_chad_1973_2007.jpg,gauss s=0.8,0.0962166369766331,0.6999387741088867,0.7805236733281469,0.6325930191745824
clima,clima_06_lake_chad_1973_2007.jpg,gauss s=1.0,0.05175061871156186,0.4801408350467682,0.7035455505414215,0.455293249764412
clima,clima_06_lake_chad_1973_2007.jpg,gauss s=1.2,0.03799012372981788,0.350447416305542,0.6515376907198787,0.33713387559929947
clima,clima_06_lake_chad_1973_2007.jpg,gauss s=1.6,0.03178192365803703,0.1897653341293335,0.573240816456981,0.18373422676709314
clima,clima_06_lake_chad_1973_2007.jpg,gauss s=2.0,0.031229354806365066,0.1242736354470253,0.5259533107704135,0.12039264999257329
clima,clima_07_pasterze_glacier.jpg,media k=3,0.11636707029575655,0.10346079617738724,0.8105544216916132,0.09142136643575828
clima,clima_07_pasterze_glacier.jpg,media k=5,0.061607252783832334,0.028899813070893288,0.6753922856366398,0.027119374981629266
clima,clima_07_pasterze_glacier.jpg,mediana k=3,0.4164300257179597,0.4213704764842987,0.8348181929717102,0.2458991581251533
clima,clima_07_pasterze_glacier.jpg,mediana k=5,0.23990062790125033,0.2766161561012268,0.7132425785888581,0.2102557665649122
clima,clima_07_pasterze_glacier.jpg,gauss s=0.5,0.4765501739610218,0.9725335836410522,0.9758837371556506,0.5090725351739728
clima,clima_07_pasterze_glacier.jpg,gauss s=0.6,0.27247115279386414,0.9089733362197876,0.9410207054248947,0.6613043234410975
clima,clima_07_pasterze_glacier.jpg,gauss s=0.8,0.12062233244566851,0.7175212502479553,0.8759156934363437,0.6309721634637148
clima,clima_07_pasterze_glacier.jpg,gauss s=1.0,0.07495428678261028,0.5425199270248413,0.8217020130765882,0.5018557328293406
clima,clima_07_pasterze_glacier.jpg,gauss s=1.2,0.05879378095047012,0.4373856484889984,0.7781387959075702,0.4116700924808569
clima,clima_07_pasterze_glacier.jpg,gauss s=1.6,0.04921708990342086,0.28170454502105713,0.701654488490427,0.2678398671025535
clima,clima_07_pasterze_glacier.jpg,gauss s=2.0,0.047350514359194164,0.19719724357128143,0.6478120516661229,0.18785985265796598
clima,clima_08_san_martinho_madeira.jpg,media k=3,0.11474090773919313,0.04282371327280998,0.7939258740453029,0.03791008153912483
clima,clima_08_san_martinho_madeira.jpg,media k=5,0.054745808394263136,-0.0011117777321487665,0.6523074689878573,-0.0010509125614475417
clima,clima_08_san_martinho_madeira.jpg,mediana k=3,0.4244853201084781,0.2621680796146393,0.816326899260676,0.15088157841719413
clima,clima_08_san_martinho_madeira.jpg,mediana k=5,0.23461258998237763,0.13756074011325836,0.6831050697147891,0.10528725859539406
clima,clima_08_san_martinho_madeira.jpg,gauss s=0.5,0.4769586744014451,0.9748620390892029,0.9749549534692769,0.5098931332009269
clima,clima_08_san_martinho_madeira.jpg,gauss s=0.6,0.2735491932634857,0.9154587984085083,0.9380757617929666,0.6650357826379009
clima,clima_08_san_martinho_madeira.jpg,gauss s=0.8,0.11911594236821739,0.7260069847106934,0.8681761781054763,0.6395279785609711
clima,clima_08_san_martinho_madeira.jpg,gauss s=1.0,0.06969863341648251,0.5421398282051086,0.8101999371420856,0.504353423058566
clima,clima_08_san_martinho_madeira.jpg,gauss s=1.2,0.05067980539994511,0.43276143074035645,0.7640514390473365,0.4108291656458334
clima,clima_08_san_martinho_madeira.jpg,gauss s=1.6,0.03764181110117878,0.2794065773487091,0.6829890200266164,0.2688892077437221
clima,clima_08_san_martinho_madeira.jpg,gauss s=2.0,0.0347762809479775,0.2006796896457672,0.6263406400861513,0.1937007963780931
clima,clima_09_larsen_b_collapse.jpg,media k=3,0.11128276643125178,0.14808392524719238,0.7166348934953047,0.13160473638168613
clima,clima_09_larsen_b_collapse.jpg,media k=5,0.049019642572950994,-0.03136157989501953,0.5427179529645231,-0.029824246458042627
clima,clima_09_larsen_b_collapse.jpg,mediana k=3,0.3875489496465628,0.43153026700019836,0.7337487650865976,0.2642911652835707
clima,clima_09_larsen_b_collapse.jpg,mediana k=5,0.20436210936879867,0.28617969155311584,0.5799497275289356,0.22769540612880892
clima,clima_09_larsen_b_collapse.jpg,gauss s=0.5,0.4816420211174092,0.9747985005378723,0.9621636385498161,0.5052945805565915
clima,clima_09_larsen_b_collapse.jpg,gauss s=0.6,0.2791575366809926,0.9160494804382324,0.9088793906898082,0.6603273640011923
clima,clima_09_larsen_b_collapse.jpg,gauss s=0.8,0.12031284214896018,0.7366805672645569,0.8113096971028311,0.6480484344610498
clima,clima_09_larsen_b_collapse.jpg,gauss s=1.0,0.06640305657553802,0.5625726580619812,0.7333442793708637,0.5252161140208407
clima,clima_09_larsen_b_collapse.jpg,gauss s=1.2,0.0448986028743891,0.4515901207923889,0.6744827213715229,0.43131435529693407
clima,clima_09_larsen_b_collapse.jpg,gauss s=1.6,0.03049713698606233,0.28212830424308777,0.5791109948930319,0.27352419870094086
clima,clima_09_larsen_b_collapse.jpg,gauss s=2.0,0.02820045440333944,0.20002785325050354,0.5171211764548727,0.19438697689551485
clima,clima_10_marine_debris.jpg,media k=3,0.13400744474300288,0.1515928953886032,0.7892653824282404,0.13127831883638316
clima,clima_10_marine_debris.jpg,media k=5,0.06751183338976981,-0.02828344702720642,0.623574151673371,-0.02637397966381728
clima,clima_10_marine_debris.jpg,mediana k=3,0.5215988901096492,0.4416331350803375,0.820983627578181,0.21127778198678868
clima,clima_10_marine_debris.jpg,mediana k=5,0.31263072759207877,0.23279669880867004,0.6763137753919674,0.1600172974790815
clima,clima_10_marine_debris.jpg,gauss s=0.5,0.5000699162710024,0.9768115282058716,0.9764923109354352,0.48833746908341147
clima,clima_10_marine_debris.jpg,gauss s=0.6,0.3006304644925224,0.9228084683418274,0.9402349736985114,0.6453841298665907
clima,clima_10_marine_debris.jpg,gauss s=0.8,0.1425069002730876,0.7530970573425293,0.8678311477460534,0.6457755300958617
clima,clima_10_marine_debris.jpg,gauss s=1.0,0.08773249596215264,0.585322916507721,0.8046398475487219,0.5339710760986519
clima,clima_10_marine_debris.jpg,gauss s=1.2,0.06563846710402908,0.4777015745639801,0.7529128355936032,0.4463459754764194
clima,clima_10_marine_debris.jpg,gauss s=1.6,0.051165555395855204,0.3104473650455475,0.6607175211995399,0.29456315319181225
clima,clima_10_marine_debris.jpg,gauss s=2.0,0.048682553332472574,0.22267977893352509,0.5959098267164321,0.21183915871953055
