caso,sigma,secuencia,radio,semilla,dice,objetos_ok
A,1.0,apertura,3,26,0.9637239165329053,0
A,1.0,apertura,5,26,0.9832896461336829,1
A,1.0,cierre,3,26,0.9322795598946226,0
A,1.0,cierre,5,26,0.9311465263809376,0
A,1.0,ap>ci,3,26,0.9615754082612872,0
A,1.0,ap>ci,5,26,0.9832896461336829,1
A,1.0,ci>ap,3,26,0.9568540041394682,0
A,1.0,ci>ap,5,26,0.9747163695299838,1
A,2.0,ninguna,5,26,0.9460267505900866,0
A,2.0,apertura,3,26,0.9567016873607131,0
A,2.0,apertura,5,26,0.9726404403432086,1
A,2.0,cierre,3,26,0.9451344128281717,0
A,2.0,cierre,5,26,0.9439472444653791,0
A,2.0,ap>ci,3,26,0.9553330154188523,1
A,2.0,ap>ci,5,26,0.9724830042084817,1
A,2.0,ci>ap,3,26,0.954574332909784,0
A,2.0,ci>ap,5,26,0.9674718196457327,1
A,1.0,ninguna,5,27,0.9351779884968133,0
A,1.0,apertura,3,27,0.9689060737876591,0
A,1.0,apertura,5,27,0.9810704960835509,1
A,1.0,cierre,3,27,0.933725611644472,0
A,1.0,cierre,5,27,0.9279334770557438,0
A,1.0,ap>ci,3,27,0.9676796912686927,1
A,1.0,ap>ci,5,27,0.981569075191649,1
A,1.0,ci>ap,3,27,0.9634126857325451,1
A,1.0,ci>ap,5,27,0.9763447828904731,1
A,2.0,ninguna,5,27,0.9479150275373721,0
A,2.0,apertura,3,27,0.9666238767650834,1
A,2.0,apertura,5,27,0.9759974051248783,1
A,2.0,cierre,3,27,0.9474842767295597,0
A,2.0,cierre,5,27,0.9470708339877494,0
A,2.0,ap>ci,3,27,0.9663245670301476,1
A,2.0,ap>ci,5,27,0.9761634506242906,1
A,2.0,ci>ap,3,27,0.9660147483167681,1
A,2.0,ci>ap,5,27,0.9733570159857904,1
A,1.0,ninguna,5,28,0.9343497199751089,0
A,1.0,apertura,3,28,0.9544875875238702,1
A,1.0,apertura,5,28,0.9803471994759253,1
A,1.0,cierre,3,28,0.9340574088440652,0
A,1.0,cierre,5,28,0.9301391035548686,0
A,1.0,ap>ci,3,28,0.9520634920634921,0
A,1.0,ap>ci,5,28,0.9803471994759253,1
A,1.0,ci>ap,3,28,0.9526674054139623,0
A,1.0,ci>ap,5,28,0.9724830042084817,1
A,2.0,ninguna,5,28,0.9426371208549427,1
A,2.0,apertura,3,28,0.9432300676206951,0
A,2.0,apertura,5,28,0.9744673930720442,1
A,2.0,cierre,3,28,0.9416012558869702,1
A,2.0,cierre,5,28,0.940733772342427,1
A,2.0,ap>ci,3,28,0.9423409269442262,0
A,2.0,ap>ci,5,28,0.9744673930720442,1
A,2.0,ci>ap,3,28,0.9420449191141825,0
A,2.0,ci>ap,5,28,0.9661508704061895,1
A,1.0,ninguna,5,29,0.935865504358655,0
A,1.0,apertura,3,29,0.9568265094790505,0
A,1.0,apertura,5,29,0.9810395554102648,1
A,1.0,cierre,3,29,0.9336022339435309,0
A,1.0,cierre,5,29,0.9306930693069307,0
A,1.0,ap>ci,3,29,0.9528945281522601,0
A,1.0,ap>ci,5,29,0.9812060794247426,1
A,1.0,ci>ap,3,29,0.9523507994301093,0
A,1.0,ci>ap,5,29,0.975,1
A,2.0,ninguna,5,29,0.9454316716464853,0
A,2.0,apertura,3,29,0.9460097591688966,0
A,2.0,apertura,5,29,0.9765853658536585,1
A,2.0,cierre,3,29,0.9439472444653791,0
A,2.0,cierre,5,29,0.9435205522434892,0
