dominio,imagen,sigma_u,alfa,ganancia_borde,amp_ruido,rms_rel,d_entropia
clima,clima_02_lyell_glacier_1883_2015.jpg,1.0,1.0,1.3992051896420077,1.9771295065061552,1.051231827761405,0.08532843684500335
clima,clima_02_lyell_glacier_1883_2015.jpg,1.0,1.5,1.591315691887882,2.475049514014515,1.0777147068653576,0.09912671688705643
clima,clima_02_lyell_glacier_1883_2015.jpg,1.0,2.0,1.775662168390631,2.953452787536124,1.1027798499586912,0.08936846850696778
clima,clima_02_lyell_glacier_1883_2015.jpg,1.5,0.5,1.2883569522050975,1.5160146920745652,1.0381782562889732,0.06993309179914409
clima,clima_02_lyell_glacier_1883_2015.jpg,1.5,1.0,1.5693961873100584,2.0434711699385604,1.0776175073868608,0.08811102480010113
clima,clima_02_lyell_glacier_1883_2015.jpg,1.5,1.5,1.821445032381855,2.564184741028915,1.1139934237875537,0.0634140306151254
clima,clima_02_lyell_glacier_1883_2015.jpg,1.5,2.0,2.043871231678336,3.06262441009182,1.1471511100137868,-0.003517157437161522
clima,clima_02_lyell_glacier_1883_2015.jpg,2.0,0.5,1.3427928097131858,1.522619509656435,1.0494855129038476,0.07537312540211083
clima,clima_02_lyell_glacier_1883_2015.jpg,2.0,1.0,1.6596662494354382,2.0610023429004656,1.0978782838350603,0.06647722018985291
clima,clima_02_lyell_glacier_1883_2015.jpg,2.0,1.5,1.9398651175881745,2.5841803637169307,1.1409447085335103,-0.0015795726436111934
clima,clima_02_lyell_glacier_1883_2015.jpg,2.0,2.0,2.1749734609250284,3.0831073837714045,1.1784182580483347,-0.11801159096396585
clima,clima_02_lyell_glacier_1883_2015.jpg,3.0,0.5,1.392252156728214,1.5283150156802396,1.0677864344115224,0.06174563297935087
clima,clima_02_lyell_glacier_1883_2015.jpg,3.0,1.0,1.7361014557281231,2.068381075395545,1.1291669907210595,-0.007856835576433241
clima,clima_02_lyell_glacier_1883_2015.jpg,3.0,1.5,2.0257700070266464,2.5835933884895157,1.180622219297986,-0.1531954947018317
clima,clima_02_lyell_glacier_1883_2015.jpg,3.0,2.0,2.2608153295180204,3.0675021511526603,1.2229837907410803,-0.3494482914317141
clima,clima_03_terminal_moraine.jpg,1.0,0.5,1.2215405638665133,1.4981544164094254,1.010158905410918,0.0505247313561199
clima,clima_03_terminal_moraine.jpg,1.0,1.0,1.4468136345075913,1.9644303540993766,1.0219092855368717,0.09343814850872345
clima,clima_03_terminal_moraine.jpg,1.0,1.5,1.6700455968422485,2.4447719390248266,1.034568340092158,0.11810961768030825
clima,clima_03_terminal_moraine.jpg,1.0,2.0,1.885385500575374,2.9275568215677628,1.0474132249048953,0.12089992760538504
clima,clima_03_terminal_moraine.jpg,1.5,0.5,1.3248530630931612,1.5191191018199588,1.01655471515621,0.07197026272766482
clima,clima_03_terminal_moraine.jpg,1.5,1.0,1.6491341549426481,2.024455621372299,1.0352487445507275,0.11234340665565945
clima,clima_03_terminal_moraine.jpg,1.5,1.5,1.956762964475296,2.5403912851745467,1.0544645866908449,0.11390477200846227
clima,clima_03_terminal_moraine.jpg,1.5,2.0,2.2407012138535207,3.060282707412131,1.07333893312789,0.08511140241554038
clima,clima_03_terminal_moraine.jpg,2.0,0.5,1.3858649789029536,1.523965174070057,1.0219092105136292,0.08351130077233204
clima,clima_03_terminal_moraine.jpg,2.0,1.0,1.7637477263447048,2.0387602350333123,1.0459643221193935,0.11464052631564758
clima,clima_03_terminal_moraine.jpg,2.0,1.5,2.112478964821758,2.5677192710630132,1.0701143372351967,0.09292858794242864
clima,clima_03_terminal_moraine.jpg,2.0,2.0,2.4269411138745562,3.0995578227238596,1.0932043101527413,0.033496294420643835
clima,clima_03_terminal_moraine.jpg,3.0,0.5,1.4381305913359812,1.5273446718234152,1.0304432544700448,0.09311688813405006
clima,clima_03_terminal_moraine.jpg,3.0,1.0,1.8614179256839527,2.050160900087005,1.0625535872944902,0.10174113424070086
clima,clima_03_terminal_moraine.jpg,3.0,1.5,2.2452836346313276,2.5848730081165154,1.0935073671339166,0.03736819444231543
clima,clima_03_terminal_moraine.jpg,3.0,2.0,2.5836118947746143,3.1148594209980573,1.121763262651714,-0.06200244531519594
clima,clima_04_brevent_chamonix.jpg,1.0,0.5,1.206836965905182,1.5049533945418663,1.018193284938663,0.019108270373368264
clima,clima_04_brevent_chamonix.jpg,1.0,1.0,1.4192867000773197,1.9701549358708517,1.038950060077614,0.031171153130105544
clima,clima_04_brevent_chamonix.jpg,1.0,1.5,1.6283935008267458,2.4532863767716164,1.0609664401377346,0.03338610750833393
clima,clima_04_brevent_chamonix.jpg,1.0,2.0,1.8264752918385936,2.9386685018520318,1.0836825055437842,0.033850795067046136
clima,clima_04_brevent_chamonix.jpg,1.5,0.5,1.3081777684402125,1.5278140164958853,1.029753850753947,0.02807487302385603
clima,clima_04_brevent_chamonix.jpg,1.5,1.0,1.6114485081154917,2.0327225390551567,1.0625872480671177,0.031856795886071154
clima,clima_04_brevent_chamonix.jpg,1.5,1.5,1.8956131585219003,2.549306279149076,1.0964167172813855,0.0320749084936196
clima,clima_04_brevent_chamonix.jpg,1.5,2.0,2.1654564776545553,3.0624329872365186,1.1311274123449604,0.03444208751202282
clima,clima_04_brevent_chamonix.jpg,2.0,0.5,1.368954884273006,1.5353506202252667,1.0393218665529196,0.031491749804123614
clima,clima_04_brevent_chamonix.jpg,2.0,1.0,1.7185332346510032,2.048805602290644,1.0813891880423327,0.031039046008497273
clima,clima_04_brevent_chamonix.jpg,2.0,1.5,2.0427998270302603,2.572230666552046,1.124334726861498,0.02959434491947288
clima,clima_04_brevent_chamonix.jpg,2.0,2.0,2.3407606390093236,3.094603364737423,1.167996490737989,0.02722865697293919
clima,clima_04_brevent_chamonix.jpg,3.0,0.5,1.4250225592645875,1.538232818517864,1.0539875790516684,0.030878615307824653
clima,clima_04_brevent_chamonix.jpg,3.0,1.0,1.8120515784445586,2.0568329638086205,1.109195405209963,0.02287876790639931
clima,clima_04_brevent_chamonix.jpg,3.0,1.5,2.165606155120121,2.5834751130537787,1.164728722237498,0.017134122283375852
clima,clima_04_brevent_chamonix.jpg,3.0,2.0,2.4845587190506815,3.116632201835122,1.21938512637046,-0.00603169741184395
clima,clima_05_hurricane_michael.jpg,1.0,0.5,1.2072333586080153,1.488691212006386,1.0246316408498535,0.03742845042729659
clima,clima_05_hurricane_michael.jpg,1.0,1.0,1.4196419979624209,1.9595558896184435,1.053283072400098,0.07798463384505894
clima,clima_05_hurricane_michael.jpg,1.0,1.5,1.6336899451451923,2.4335120293699255,1.084849190272383,0.11731665134333191
clima,clima_05_hurricane_michael.jpg,1.0,2.0,1.8434690954950304,2.911686058189062,1.118096540000385,0.14870646623896366
